Resource Type Group,Resource Type Name,Resource Type Hierarchy,DataCite ResourceTypeGeneral,DataCite_RTG Notes
Dataset,Dataset,dataset,Dataset,
Multimedia,Animation,"image, moving image",Audiovisual,"per DataCite definition, visual representations giving an impression of motion"
Multimedia,Audio Recording,sound,Sound,
Multimedia,Database,"software, research software",Software,
Multimedia,Postcard,"image, still image",Image,
Multimedia,Social media,interactive resource,InteractiveResource,
Multimedia,Software or Program Code,software,Software,
Multimedia,Video,"image, moving image",Audiovisual,"per DataCite definition, visual representations giving an impression of motion"
Multimedia,Website,interactive resource,InteractiveResource,
Images,Architectural Drawing,"image, still image",Image,
Images,Chart,"image, still image",Image,
Images,Drawing,"image, still image",Image,
Images,Map,"image, cartographic material",Image,
Images,Photograph,"image, still image",Image,
Images,Pictorial Work,"image, still image",Image,
Images,Portrait,"image, still image",Image,
Learning Objects,Examination Questions,learning object,InteractiveResource,"per definition of Interactive Resource, requires interation to be understood or experienced"
Learning Objects,Lecture,learning object,InteractiveResource,"per definition of Interactive Resource, requires interation to be understood or experienced"
Learning Objects,Lecture Notes,learning object,InteractiveResource,"per definition of Interactive Resource, requires interation to be understood or experienced"
Learning Objects,Lesson,learning object,InteractiveResource,"per definition of Interactive Resource, requires interation to be understood or experienced"
Learning Objects,Presentation,learning object,InteractiveResource,"per definition of Interactive Resource, requires interation to be understood or experienced"
Learning Objects,Problems and Exercises,learning object,InteractiveResource,"per definition of Interactive Resource, requires interation to be understood or experienced"
Text Resources,Abstract,text,Text,
Text Resources,Advertisement,text,Text,
Text Resources,Bibliography,text,Text,
Text Resources,Biobibliography,text,Text,
Text Resources,Comment,text,Text,
Text Resources,Correspondence,text,Text,
Text Resources,Fictional Work,text,Text,
Text Resources,Form,text,Text,
Text Resources,Guideline,text,Text,
Text Resources,Letter,text,Text,
Text Resources,Manuscript,text,Text,
Text Resources,Patent,text,Text,
Text Resources,Patient Education Handout,text,Text,
Text Resources,Personal Narrative,text,Text,
Text Resources,Poetry,text,Text,
Text Resources,Preprint,text,Text,
Text Resources,Program,text,Text,
Text Resources,Resource Guide,"text, guideline",Text,
Text Resources,Software documentation,"text, technical documentation",Text,
Text Resources,Speech,text,Text,
Text Resources,Technical Documentation,text,Text,
Text Resources,Working Paper,text,Text,
Books,Account Book,"text, book",Text,
Books,Almanac,"text, book",Text,
Books,Atlas,"text, book",Text,
Books,Biography,"text, book",Text,
Books,Book,text,Text,
Books,Catalog,"text, book",Text,
Books,Diary,"text, book",Text,
Books,Handbook,"text, book",Text,
Books,Part of Book,"text, book",Text,
Conference Objects,Conference Paper,"text, conference object, conference proceedings",Text,
Conference Objects,Conference Presentation,"text, conference object, conference proceedings",InteractiveResource,
Conference Objects,Conference Proceeding,"text, conference object",Text,
Conference Objects,Congress,"text, conference object, conference proceedings",Text,
Conference Objects,Meeting Abstract,"text, conference object",Text,
Conference Objects,Poster,"text, conference object, conference proceedings",Text,
Periodicals,Journal,"text, periodical",Text,
Periodicals,Magazine,"text, periodical",Text,
Periodicals,Newsletter,"text, periodical",Text,
Periodicals,Newspaper,"text, periodical",Text,
Articles,Book Review,"text, periodical, journal, contribution to journal, journal article",Text,
Articles,Data Paper,"text, periodical, journal, contribtion to journal, journal article",DataPaper,
Articles,Editorial,"text, periodical, journal, contribtion to journal",Text,
Articles,Journal Article,"text, periodical, journal, contribtion to journal",Text,
Articles,Letter to the editor,"text, periodical, journal, contribution to journal",Text,
Articles,Newspaper Article,"text, periodical, newspaper",Text,
Articles,Research Paper,"text, study, study documentation",Text,
Articles,Retraction,"text, periodical, journal, contribution to journal",Text,
Articles,Review Article,"text, periodical, journal, contribution to journal, journal article",Text,
Articles,Software Paper,"text, periodical, journal, contribution to journal, journal article",Text,
Other,Annual Report,"text, report",Text,
Other,Capstone Project,"text, report",Text,
Other,Interview,"sound, audio recording",Sound,
Other,Laboratory Manual,text,Text,
Other,Table,"image, still image",Image,
Other,Technical Report,"text, report",Text,
Other,Other,(no hierarchy - allow a user-supplied 'other'?),Other,
Archival Items,Collection,archival item,Collection,
Archival Items,Ephemera,archival item,Other,
Archival Items,Exhibitions,archival item,Collection,Exhibitions by definition are collections of materials for display
Study Documentation,Case Reports,"text, study, study documentation",Text,
Study Documentation,Clinical Study,"text, study",Text,
Study Documentation,Clinical Trial,"text, study",Text,
Study Documentation,Comparative Study,"text, study",Text,
Study Documentation,Data Management Plan,"text, study, project deliverable",Text,
Study Documentation,Evaluation Study,"text, study",Text,
Study Documentation,Research Proposal,"text, study, study documentation",Text,
Study Documentation,Statistics,"text, study, study documentation",Text,
Theses and Dissertations,Academic Dissertations,"text, thesis, doctoral thesis",Text,
Theses and Dissertations,"Thesis, Bachelor","text, thesis",Text,
Theses and Dissertations,"Thesis, Doctoral","text, thesis",Text,
Theses and Dissertations,"Thesis, Masters","text, thesis",Text,
